,beatmapset_id,beatmap_id,approved,total_length,hit_length,version,file_md5,diff_size,diff_overall,diff_approach,diff_drain,mode,count_normal,count_slider,count_spinner,submit_date,approved_date,last_update,artist,title,creator,creator_id,bpm,source,tags,genre_id,language_id,favourite_count,rating,download_unavailable,audio_unavailable,playcount,passcount,max_combo,diff_aim,diff_speed,difficultyrating
63,27754,92879,1,162,135,Hyper,8307d8185a83c02a578e286e2b2ee165,4,6,8,5,0,107,223,1,2011-03-20 23:12:55,2011-06-01 15:30:33,2011-06-01 15:26:06,07th Expansion,lixAxil,Shiirn,465126,145,umineko chiru,ep8 furudo erika rokodo,2,5,225,9.40474,0,0,216502,76122,801,1.4758518934249878,1.379296064376831,2.903425931930542
64,27754,92878,1,162,135,Another,0b04c4905107da54ccb8df2d7929eefa,4,6,8,6,0,505,148,1,2011-03-20 23:12:55,2011-06-01 15:30:33,2011-06-01 15:26:06,07th Expansion,lixAxil,Shiirn,465126,145,umineko chiru,ep8 furudo erika rokodo,2,5,225,9.40474,0,0,229310,36295,888,2.061281681060791,2.158857822418213,4.268927574157715
65,37627,141655,1,161,153,Easy,94ad8812b737e750aae1ed1cf23ddbba,3,2,3,3,0,67,110,2,2011-10-05 18:01:10,2012-04-14 03:24:36,2012-03-19 14:41:17,07th Expansion,lixAxil,La Cataline,301279,145,Umineko no Naku Koro ni Chiru,when they cry gurasan neko visual novel vass_bass mmzz,2,5,138,9.44197,0,0,26210,11827,376,0.9773432016372681,0.8761231303215027,1.904076337814331
66,37627,144665,1,161,153,Vass,be14541a4046bad1d26a8b733f4dc346,4,4,5,4,0,112,112,9,2011-10-05 18:01:10,2012-04-14 03:24:36,2012-03-19 14:41:17,07th Expansion,lixAxil,La Cataline,301279,145,Umineko no Naku Koro ni Chiru,when they cry gurasan neko visual novel vass_bass mmzz,2,5,138,9.44197,0,0,46650,19004,402,1.118953824043274,1.0520399808883667,2.2044506072998047
67,37627,120864,1,162,154,Hard,cf3805fac20842017fc0c612fc9e356c,4,6,8,5,0,200,247,1,2011-10-05 18:01:10,2012-04-14 03:24:36,2012-03-19 14:41:17,07th Expansion,lixAxil,La Cataline,301279,145,Umineko no Naku Koro ni Chiru,when they cry gurasan neko visual novel vass_bass mmzz,2,5,138,9.44197,0,0,98411,26130,719,1.720743179321289,1.7468469142913818,3.480642080307007
68,37627,125944,1,162,154,Insane,03078dccdbf00a5f25d1d4b14c39a296,4,7,9,6,0,438,186,0,2011-10-05 18:01:10,2012-04-14 03:24:36,2012-03-19 14:41:17,07th Expansion,lixAxil,La Cataline,301279,145,Umineko no Naku Koro ni Chiru,when they cry gurasan neko visual novel vass_bass mmzz,2,5,138,9.44197,0,0,164515,37974,847,2.1551389694213867,2.1655068397521973,4.32582950592041
69,31116,129968,1,212,166,hackSL's Easy,07179ea83132e55ef8d49539d030234a,3,1,2,2,0,104,83,6,2011-05-31 16:39:59,2011-12-10 23:13:49,2011-12-10 23:01:37,07th Expansion,miragecoordinator,La Cataline,301279,150,Umineko no Naku Koro ni,zts when they cry visual novel mmzz hacksl,2,5,217,9.51859,0,0,39578,16686,341,0.9397045373916626,0.913690984249115,1.866402268409729
70,31116,106494,1,212,187,Normal,156b2a1348f9047d3116ce13e7197c85,4,5,5,4,0,112,133,2,2011-05-31 16:39:59,2011-12-10 23:13:49,2011-12-10 23:01:37,07th Expansion,miragecoordinator,La Cataline,301279,150,Umineko no Naku Koro ni,zts when they cry visual novel mmzz hacksl,2,5,217,9.51859,0,0,83089,35725,469,1.2398978471755981,0.9304539561271667,2.325073719024658
71,31116,102426,1,212,190,Hard,d4a60a29a0ce82355c9ae5fe43c4093d,4,5,8,7,0,364,224,6,2011-05-31 16:39:59,2011-12-10 23:13:49,2011-12-10 23:01:37,07th Expansion,miragecoordinator,La Cataline,301279,150,Umineko no Naku Koro ni,zts when they cry visual novel mmzz hacksl,2,5,217,9.51859,0,0,367073,64001,845,2.026926040649414,1.9773260354995728,4.029052257537842
72,41807,158377,1,147,136,Normal,83a3f5607e983a612b4eee4805d0b55c,4,3,5,4,0,34,107,6,2011-12-23 16:50:10,2012-07-09 14:55:33,2012-07-09 14:39:04,07th Expansion,Nakanaide,Suzully,431791,210,Umineko no Naku Koro ni,dai when they cry kshr,2,5,51,9.15562,0,0,26996,9991,622,0.9986073970794678,0.7561749815940857,1.875998616218567
73,41807,158376,1,149,138,KSHR's Hard,2feb5afab72ded3850c242759c2b9d5d,4,6,7,5,0,137,230,4,2011-12-23 16:50:10,2012-07-09 14:55:33,2012-07-09 14:39:04,07th Expansion,Nakanaide,Suzully,431791,210,Umineko no Naku Koro ni,dai when they cry kshr,2,5,51,9.15562,0,0,49902,8487,803,1.8704121112823486,1.7695831060409546,3.6904096603393555
74,41807,131840,1,149,137,Insane,c60333347edea82047387aee105cd0db,4,8,9,7,0,295,232,3,2011-12-23 16:50:10,2012-07-09 14:55:33,2012-07-09 14:39:04,07th Expansion,Nakanaide,Suzully,431791,210,Umineko no Naku Koro ni,dai when they cry kshr,2,5,51,9.15562,0,0,72100,11241,980,2.412717342376709,2.406381845474243,4.822267055511475
75,18465,66019,1,103,80,Easy,043950494a699796a2add88e2b4a49ca,3,3,3,2,0,55,39,1,2010-07-25 16:30:37,2012-02-12 21:19:21,2012-02-12 21:11:42,07th Expansion,Occultics no Majo,tieff,89619,145,Umineko no Naku Koro ni Chiru,,2,3,30,9.17524,0,0,27525,10938,181,0.6095437407493591,0.7110694050788879,1.3713760375976562
76,18465,65656,1,103,100,Normal,b9a606025da272224fa86fb4ab472aa0,4,5,5,5,0,112,81,2,2010-07-25 16:30:37,2012-02-12 21:19:21,2012-02-12 21:11:42,07th Expansion,Occultics no Majo,tieff,89619,145,Umineko no Naku Koro ni Chiru,,2,3,30,9.17524,0,0,37069,13268,392,1.0782357454299927,1.055111050605774,2.144909143447876
